Num,Title,Comment,Recommend,Link
136,玩具总动员3,8.8,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
137,电锯惊魂,8.7,真相就在眼前。,https://movie.douban.com/subject/1417598/
138,血战钢锯岭,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
139,岁月神偷,8.7,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
140,谍影重重3,8.8,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
141,疯狂原始人,8.7,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
142,英雄本色,8.7,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
143,喜宴,8.9,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
144,七武士,9.2,时代悲歌。,https://movie.douban.com/subject/1295399/
145,傲慢与偏见,8.6,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
146,萤火虫之墓,8.7,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
147,时空恋旅人,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
148,东邪西毒,8.6,电影诗。,https://movie.douban.com/subject/1292328/
149,真爱至上,8.6,爱，是个动词。,https://movie.douban.com/subject/1292401/
150,贫民窟的百万富翁,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
151,黑天鹅,8.5,黑暗之美。,https://movie.douban.com/subject/1978709/
152,记忆碎片,8.6,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
153,心迷宫,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
154,纵横四海,8.8,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
155,教父3,8.8,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
156,完美的世界,9.1,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
157,荒蛮故事,8.8,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
158,达拉斯买家俱乐部,8.7,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
159,三块广告牌,8.7,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
160,被解救的姜戈,8.7,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
